TPS Name,TCMS Name,In Railway Data,Platform Label,Platform Number,Type,Preferred,Station Code,,,
N01ACF,ACF001,F,01,01,P,T,ACF,,,
N01ALB,ALB001,F,01,01,P,T,ALB,,,
N01ALM,ALM001,F,01,01,P,T,ALM,,,
N01ALP,ALP001,T,01,01,P,T,ALP,,,
N01ALT,ALT001,F,01,01,P,T,ALT,,,
N01ARM,ARM001,T,01,01,P,T,ARM,,,
N01ASH,ASH001,F,01,01,P,T,ASH,,,
N01ASP,ASP001,F,01,01,P,T,ASP,,,
N01ASV,ASV001,F,01,01,P,T,ASV,,,
N01ASY,ASY001,T,01,01,P,T,ASY,,,
N01AUB,AUB001,F,01,01,P,T,AUB,,,
N01BAT,BAT001,T,01,01,P,T,BAT,,,
N01BAY,BAY001,F,01,01,P,T,BAY,,,
N01BBH,BBH001,T,01,01,P,T,BBH,,,
N01BBN,BBN001,F,01,01,P,T,BBN,,,
N01BCV,BCV001,T,01,01,P,T,BCV,,,
N01BEG,BEG001,F,01,01,P,T,BEG,,,
N01BEL,BEL001,T,01,01,P,T,BEL,,,
N01BEN,BEN001,T,01,01,P,T,BEN,,,
N01BEW,BEW001,F,01,01,P,T,BEW,,,
N01BFD,BFD001,F,01,01,P,T,BFD,,,
N01BIT,BIT001,F,01,01,P,T,BIT,,,
N01BLS,BLSSDG,F,SDG,01,R,T,BLS,,,
N01BLS,BLSS01,F,S01,01,R,F,BLS,,,
N01BLS,BLSS02,F,S02,02,R,F,BLS,,,
N01BLY,BLY001,T,01,01,P,T,BLY,,,
N01BMS,BMS001,F,01,01,P,T,BMS,,,
N01BON,BON001,F,01,01,P,T,BON,,,
N01BOR,BOR001,F,01,01,P,T,BOR,,,
N01BWD,BWD001,F,01,01,P,T,BWD,,,
N01BWK,BWK001,T,01,01,P,T,BWK,,,
N01BXR,BXR001,F,01,01,P,T,BXR,,,
N01CAM,CAM001,F,01,01,P,T,CAM,,,
N01CAR,CAR001,F,01,01,P,T,CAR,,,
N01CBE,CBE001,F,01,01,P,T,CBE,,,
N01CBY,CBY001,F,01,01,P,T,CBY,,,
N01CDN,CDN001,F,01,01,P,T,CDN,,,
N01CFD,CFD001,T,01,01,P,T,CFD,,,
N01CGB,CGB001,F,01,01,P,T,CGB,,,
N01CHL,CHL001,T,01,01,P,T,CHL,,,
N01CHM,CHM001,F,01,01,P,T,CHM,,,
N01CLA,CLA001,F,01,01,P,T,CLA,,,
N01ClO,ClO001,F,01,01,P,T,ClO,,,
N01CNE,CNE001,F,01,01,P,T,CNE,,,
N01COB,COB001,T,01,01,P,T,COB,,,
N01CSA,CSA001,F,01,01,P,T,CSA,,,
N01CTM,CTM001,F,01,01,P,T,CTM,,,
N01CWD,CWD001,T,01,01,P,T,CWD,,,
N01CXT,CXT001,T,01,01,P,T,CXT,,,
N01DBN,DBN001,T,01,01,P,T,DBN,,,
N01DCK,DCK001,F,01,01,P,T,DCK,,,
N01DEN,DEN001,T,01,01,P,T,DEN,,,
N01DLG,DLG001,F,01,01,P,T,DLG,,,
N01DNG,DNG001,F,01,01,P,T,DNG,,,
N01DPK,DPK001,F,01,01,P,T,DPK,,,
N01DPW,DPW001,F,01,01,P,T,DPW,,,
N01EAG,EAG001,T,01,01,P,T,EAG,,,
N01ECM,ECM001,F,01,01,P,T,ECM,,,
N01EDI,EDI001,F,01,01,P,T,EDI,,,
N01ELS,ELS001,T,01,01,P,T,ELS,,,
N01ELT,ELT001,F,01,01,P,T,ELT,,,
N01EMV,EMV001,F,01,01,P,T,EMV,,,
N01EPP,EPP001,T,01,01,P,T,EPP,,,
N01ERM,ERM001,T,01,01,P,T,ERM,,,
N01ESD,ESD001,F,01,01,P,T,ESD,,,
N01FAK,FAK001,T,01,01,P,T,FAK,,,
N01FBD,FBD001,T,01,01,P,T,FBD,,,
N01FFD,FFD001,T,01,01,P,T,FFD,,,
N01FGS,FGS001,T,01,01,P,T,FGS,,,
N01FKN,FKN001,F,01,01,P,T,FKN,,,
N01FSS,FSS001,T,01,01,P,T,FSS,,,
N01FSS,FSS01W,T,1W,01,P,T,FSS,,,
N01FSY,FSY001,T,01,01,P,T,FSY,,,
N01FTG,FTG001,F,01,01,P,T,FTG,,,
N01GAR,GAR001,F,01,01,P,T,GAR,,,
N01GBV,GBV001,F,01,01,P,T,GBV,,,
N01GFE,GFE001,F,01,01,P,T,GFE,,,
N01GHY,GHY001,T,01,01,P,T,GHY,,,
N01GIN,GIN001,F,01,01,P,T,GIN,,,
N01GIR,GIR001,F,01,01,P,T,GIR,,,
N01GOW,GOW001,T,01,01,P,T,GOW,,,
N01GRN,GRN001,T,01,01,P,T,GRN,,,
N01GRY,GRY001,F,01,01,P,T,GRY,,,
