TPS Name,TCMS Name,In Railway Data
S213F0,ARM/S213F0,F
S213D0,ARM/S213D0,F
S276F0,ARM/S276F0,F
S276D0,ARM/S276D0,F
S004AT,ASH/S4,F
S008AT,ASH/S8,F
S004AD,ASP/S004,F
S018AD,ASP/S018,F
S901BB,BBH/S901,T
S904BB,BBH/S904,T
S909BB,BBH/S909,T
S911BB,BBH/S911,T
S056BG,BEG/S56,F
S058BG,BEG/S58,F
S014BW,BEW/S014,F
S028BW,BEW/S028,F
C216BY,BLY/C216,F
C226BY,BLY/C226,F
C322BY,BLY/C322,F
C342BY,BLY/C342,F
S273BY,BLY/S273,F
S293BY,BLY/S293,F
S310BY,BLY/S310,T
S312BY,BLY/S312,T
S316BY,BLY/S316,T
S332BY,BLY/S332,T
S334BY,BLY/S334,T
S336BY,BLY/S336,T
S338BY,BLY/S338,T
S340BY,BLY/S340,T
S343BY,BLY/S343,T
S345BY,BLY/S345,T
S375BY,BLY/S375,T
S377BY,BLY/S377,T
S379BY,BLY/S379,T
S395BY,BLY/S395,T
S397BY,BLY/S397,T
S019BM,BMS/S019,F
S025BM,BMS/S025,F
S026BM,BMS/S026,F
S028BM,BMS/S028,F
S035BM,BMS/S035,F
S092AJ,BMS/S092,F
S934MG,BMS/S934,F
S305BH,BOX/S305,F
S306BH,BOX/S306,F
S308BH,BOX/S308,F
S315BH,BOX/S315,F
S316BH,BOX/S316,F
S318BH,BOX/S318,F
S305LA,CAM/LA305,F
S026CB,CAM/S026,F
S054CB,CAM/S054,F
S313LA,CAM/S313,F
S004CR,CAR/S004,F
S008CR,CAR/S008,F
S113CR,CAR/S113,F
S791CB,CBE/S791,F
S793CB,CBE/S793,F
S006CB,CBY/S006,F
S016CB,CBY/S016,F
S034CB,CBY/S034,F
S044CB,CBY/S044,F
S612CX,CFD/S612,F
S627CX,CFD/S627,F
S667CX,CFD/S667,F
S704CX,CFD/S704,T
S707CX,CFD/S707,T
S708CX,CFD/S708,T
S712CX,CFD/S712,T
S727CX,CFD/S727,T
S728CX,CFD/S728,T
S729CX,CFD/S729,T
S735CX,CFD/S735,T
S744CX,CFD/S744,T
S747CX,CFD/S747,T
S748CX,CFD/S748,T
S767CX,CFD/S767,T
S768CX,CFD/S768,T
S769CX,CFD/S769,T
S773CX,CFD/S773,T
S023CH,CHL/S023,F
S028CH,CHL/S028,F
S078S0,CHL/S078,F
S100VP,CHL/S100,T
S103CH,CHL/S103,T
S104CH,CHL/S104,T
S105VP,CHL/S105,T
S107S0,CHL/S107,F
S108CH,CHL/S108,T
S110CH,CHL/S110,F
S117CH,CHL/S117,F
S121CH,CHL/S121,T
S123CH,CHL/S123,T
S127CH,CHL/S127,F
S128CH,CHL/S128,T
S129CH,CHL/S129,F
S131CH,CHL/S131,T
S051S0,CHL/SS051,F
S058S0,CHL/SS058,F
S075S0,CHL/SS075,F
S083S0,CHL/SS083,F
S086S0,CHL/SS086,F
S100S0,CHL/SS100,F
S122S0,CHL/SS122,F
S532CU,COB/S532,T
S534CU,COB/S534,T
S539CU,COB/S539,T
S541CU,COB/S541,T
S542CU,COB/S542,T
S006CT,CTM/S006,F
S010CT,CTM/S010,F
S012CT,CTM/S012,F
S031DL,DLG/S031,F
S018DL,DLG/S18,F
S002DL,DLG/S2,F
S003DD,DNG/S003,F
S038DD,DNG/S038,F
S039DD,DNG/S039,F
S042DD,DNG/S042,F
S044DD,DNG/S044,F
S045DD,DNG/S045,F
S048DD,DNG/S048,F
S075DD,DNG/S075,F
S076DD,DNG/S076,F
S450DD,DNG/S450,F
S002EH,ELT/S002,F
S004EH,ELT/S004,F
S006EH,ELT/S006,F
S008EH,ELT/S008,F
S009EH,ELT/S009,F
C064EP,EPP/C064,F
S123EP,EPP/S123,T
S125EP,EPP/S125,T
S126EP,EPP/S126,T
S127EP,EPP/S127,T
C271ER,ERM/C271,F
C291ER,ERM/C291,F
S095ER,ERM/S095,F
S306ER,ERM/S306,T
S328ER,ERM/S328,T
S371ER,ERM/S371,T
S373ER,ERM/S373,T
S391ER,ERM/S391,T
S071H0,ERM/SH71,F
S077H0,ERM/SH77,F
S080H0,ERM/SH80,F
S071L0,ERM/SL71,F
S077L0,ERM/SL77,F
S080L0,ERM/SL80,F
S089ER,ERM/SL89,F
S095L0,ERM/SL95,F
S008EN,ESD/P8,F
S016EN,ESD/S16,F
S018EN,ESD/S18,F
S022EN,ESD/S22,F
S024EN,ESD/S24,F
S026EN,ESD/S26,F
S011FN,FKN/011,F
S004FN,FKN/S004,F
S008FN,FKN/S008,F
S009FN,FKN/S009,F
S014FN,FKN/S014,F
S019FN,FKN/S019,F
C409IA,FKS/C409,F
C455IB,FKS/C455,F
C486IB,FKS/C486,F
C488IB,FKS/C488,F
C519IA,FKS/C519,F
C523IA,FKS/C523,F
C529IA,FKS/C529,F
C804IA,FKS/C804,F
C811IA,FKS/C811,F
S421IA,FKS/S421,F
S455IA,FKS/S455,F
S486IA,FKS/S486,F
S488IA,FKS/S488,F
S504IA,FKS/S504,F
S512IA,FKS/S512,F
S514IA,FKS/S514,F
S516IA,FKS/S516,F
S521IA,FKS/S521,F
S525IA,FKS/S525,F
S531IA,FKS/S531,F
S532IA,FKS/S532,F
S533IA,FKS/S533,F
S539IA,FKS/S539,F
S541IA,FKS/S541,F
S554IA,FKS/S554,F
S556KN,FKS/S556KN,F
S556IA,FKS/S556IA,F
S557KN,FKS/S557KN,F
S557IA,FKS/S557IA,F
S558IA,FKS/S558,F
S559IA,FKS/S559,F
S560IA,FKS/S560,F
S561IA,FKS/S561,F
S708IB,FKS/S708,F
S711IB,FKS/S711,F
S712IB,FKS/S712,F
S713IB,FKS/S713,F
S714IB,FKS/S714,F
S789NE,FKS/S789,F
S800IB,FKS/S800,F
S804IB,FKS/S804,F
S807IB,FKS/S807,F
S811IB,FKS/S811,F
C147IA,FSA/C147,F
C151IA,FSA/C151,F
C232IA,FSA/C232,F
C451IB,FSA/C451,F
C460IB,FSA/C460,F
C479IB,FSA/C479,F
C622IB,FSA/C622,F
C631IA,FSA/C631,F
C632IA,FSA/C632,F
C684IA,FSA/C684,F
C900IA,FSA/C900,F
C911IA,FSA/C911,F
C915IA,FSA/C915,F
S054IA,FSA/S054,F
S089IA,FSA/S089,F
S100IB,FSA/S100,F
S140IA,FSA/S140,T
S142IA,FSA/S142,T
S143IA,FSA/S143,T
S144IA,FSA/S144,T
S145IA,FSA/S145,T
S148IA,FSA/S148,T
S150IA,FSA/S150,T
S153IA,FSA/S153,T
S154IA,FSA/S154,T
S223IA,FSA/S223,F
S227IA,FSA/S227,T
S236IA,FSA/S236,T
S287IA,FSA/S287,F
S311IA,FSA/S311,T
S314IA,FSA/S314,T
S328IA,FSA/S328,T
S329IA,FSA/S329,T
S330IA,FSA/S330,T
S332IA,FSA/S332,T
S334IA,FSA/S334,T
S339IA,FSA/S339,T
S344IA,FSA/S344,T
S449IA,FSA/S449,T
S451IA,FSA/S451,T
S460IA,FSA/S460,T
S472IA,FSA/S472,T
S479IA,FSA/S479,T
S498IA,FSA/S498,F
S570IA,FSA/S570,T
S572IA,FSA/S572,T
S573IA,FSA/S573,T
S574IA,FSA/S574,T
S583IB,FSA/S583,T
S584IB,FSA/S584,T
S631IB,FSA/S631,T
S632IB,FSA/S632,T
S684IB,FSA/S684,T
S730IB,FSA/S730,T
S731IB,FSA/S731,T
S732IB,FSA/S732,T
S734IB,FSA/S734,T
S740IB,FSA/S740,T
S742IB,FSA/S742,T
S744IB,FSA/S744,T
S753IB,FSA/S753,T
S754IB,FSA/S754,T
S761IB,FSA/S761,T
S827IB,FSA/S827,F
S931IB,FSA/S931,T
S932IB,FSA/S932,T
S941IB,FSA/S941,T
S946IB,FSA/S946,T
S863IB,FSB/863,F
C936IA,FSB/C936,F
S585IB,FSB/S585,T
S586IB,FSB/S586,T
S690IB,FSB/S690,F
S694IB,FSB/S694,F
S696IB,FSB/S696,F
S733IB,FSB/S733,T
S735IB,FSB/S735,T
S736IB,FSB/S736,T
S737IB,FSB/S737,T
S741IB,FSB/S741,T
S743IB,FSB/S743,T
S746IB,FSB/S746,T
S755IB,FSB/S755,T
S756IB,FSB/S756,T
S763IB,FSB/S763,T
S765IB,FSB/S765,T
S767IB,FSB/S767,T
S850IB,FSB/S850,F
S852IB,FSB/S852,F
S860IB,FSB/S860,F
S934IB,FSB/S934,T
S936IB,FSB/S936,T
S943IB,FSB/S943,T
S945IB,FSB/S945,T
S948IB,FSB/S948,T
S950IB,FSB/S950,T
S955IA,FSB/S955IA,F
S957IB,FSB/S957,T
S959IB,FSB/S959,T
S960IB,FSB/S960,T
C916IA,FSD/C916,F
C946IA,FSD/C946,F
S146IA,FSD/S146,T
S155IA,FSD/S155,T
S156IA,FSD/S156,T
S157IA,FSD/S157,T
S159IA,FSD/S159,T
S160IA,FSD/S160,T
S181IA,FSD/S181,T
S183IA,FSD/S183,T
S262IA,FSD/S262,F
S270IA,FSD/S270,F
S282IA,FSD/S282,F
S290IA,FSD/S290,F
S315IA,FSD/S315,T
S316IA,FSD/S316,T
S317IA,FSD/S317,T
S318IA,FSD/S318,T
S331IA,FSD/S331,T
S333IA,FSD/S333,T
S335IA,FSD/S335,T
S336IA,FSD/S336,T
S341IA,FSD/S341,T
S343IA,FSD/S343,T
S345IA,FSD/S345,T
S346IA,FSD/S346,T
S347IA,FSD/S347,T
S463IA,FSD/S463,F
S575IA,FSD/S575,T
S576IA,FSD/S576,T
S587IA,FSD/S587,T
C260IB,FSE/C260,F
C263IB,FSE/C263,F
C273IA,FSE/C273,F
C652IA,FSE/C652,F
C675IA,FSE/C675,F
S259IA,FSE/S259,F
S260IA,FSE/S260,T
S263IA,FSE/S263,T
S272IA,FSE/S272,F
S277IA,FSE/S277,F
S279IA,FSE/S279,F
S293IA,FSE/S293,F
S294IA,FSE/S294,F
S297IA,FSE/S297,F
S299IA,FSE/S299,F
S354IA,FSE/S354,T
S355IA,FSE/S355,T
S362IA,FSE/S362,T
S363IA,FSE/S363,T
S364IA,FSE/S364,T
S365IA,FSE/S365,T
S394IA,FSE/S394,T
S652IB,FSE/S652,T
S659IB,FSE/S659,F
S668IB,FSE/S668,F
S669IB,FSE/S669,F
S674IB,FSE/S674,F
S675IB,FSE/S675,T
S679IB,FSE/S679,F
S693IB,FSE/S693,F
S697IB,FSE/S697,F
S772IB,FSE/S772,T
S774IB,FSE/S774,T
S775IB,FSE/S775,T
S776IB,FSE/S776,T
S777IB,FSE/S777,T
S782IB,FSE/S782,T
S785IB,FSE/S785,T
S786IB,FSE/S786,T
S787IB,FSE/S787,T
S794IB,FSE/S794,T
S796IB,FSE/S796,T
S797IB,FSE/S797,T
S798IB,FSE/S798,T
S799IB,FSE/S799,T
S853IB,FSE/S853,F
S854IB,FSE/S854,F
S855IB,FSE/S855,F
S864IB,FSE/S864,F
S872IB,FSE/S872,F
S982IB,FSE/S982,T
S983IB,FSE/S983,T
S986IB,FSE/S986,T
S987IB,FSE/S987,T
S992IB,FSE/S992,T
S765FM,GHY/S765,F
S515C0,GOW/S515,F
S529C0,GOW/S529,F
S003EH,GRN/S002,F
S003GN,GRN/S003,T
S012GN,GRN/S012,T
S013GN,GRN/S013,T
S019GN,GRN/S019,T
S023GN,GRN/S023,T
S664GN,GRN/S664,F
S010GW,GWY/S10,F
S014GW,GWY/S14,F
S018GW,GWY/S18,F
S020GW,GWY/S20,F
S000HB,HBE/S000,F
S001HB,HBE/S001,F
S053HD,HDB/S053,F
S142HD,HDB/S142,T
S143HD,HDB/S143,T
S144HD,HDB/S144,T
S148HD,HDB/S148,T
S153HD,HDB/S153,T
S155HD,HDB/S155,T
S159HD,HDB/S159,T
S206F0,HKN/S206F0,F
S206D0,HKN/S206D0,F
S090IA,JLI/S090,F
S094IA,JLI/S094,F
S099IA,JLI/S099,F
S186IA,JLI/S186,T
S187IA,JLI/S187,T
S196IA,JLI/S196,T
S593KN,KEN/S593,F
S102KP,KPK/S102,T
S103KP,KPK/S103,T
S102LX,LAL/S102,T
S103LX,LAL/S103,T
S105LX,LAL/S105,T
S032LV,LAV/S32,F
S554GG,LAV/S554GG,F
S554G0,LAV/S554G0,F
S555G0,LAV/S555G0,F
S555GG,LAV/S555GG,F
S002LL,LIL/S002,F
S003LL,LIL/S003,F
S004LL,LIL/S004,F
S237F0,MAL/S237F0,F
S237D0,MAL/S237D0,F
S285F0,MAL/S285F0,F
S285D0,MAL/S285D0,F
S308F0,MAL/S308F0,F
S308D0,MAL/S308D0,F
