RFS,ID    ,Num,Word,Bit,Object Type,Name,Interlocking ID,Location,TDS AREA (A/B/C),JZA Input Bit Name,Simulation Bit Name,Field I/O Name,Remarks,Index No,,
ALJ,EKORRPX,EKORR,9,F,Pedestrian Crossing,,,,,,,,,12574,,
ALJ,P205W,P205,0,5,Point,Normal,,,,,,,,12440,,
ALJ,P205W,P205,0,4,Point,Reverse,,,,,,,,12441,,
ALJ,P205W,P205,0,3,Point,Locked,,,,,,,,12442,,
ALJ,P209W,P209,1,7,Point,Normal,,,,,,,,12454,,
ALJ,P209W,P209,1,6,Point,Reverse,,,,,,,,12455,,
ALJ,P209W,P209,1,5,Point,Locked,,,,,,,,12456,,
ALJ,P211W,P211,2,B,Point,Normal,,,,,,,,12466,,
ALJ,P211W,P211,2,A,Point,Reverse,,,,,,,,12467,,
ALJ,P211W,P211,2,9,Point,Locked,,,,,,,,12468,,
ALJ,P217W,P217,3,5,Point,Normal,,,,,,,,12488,,
ALJ,P217W,P217,3,4,Point,Reverse,,,,,,,,12489,,
ALJ,P217W,P217,3,3,Point,Locked,,,,,,,,12490,,
ALJ,P221W,P221,4,4,Point,Normal,,,,,,,,12505,,
ALJ,P221W,P221,4,3,Point,Reverse,,,,,,,,12506,,
ALJ,P221W,P221,4,2,Point,Locked,,,,,,,,12507
ALJ,S206G,S206,0,0,Home Signal,Stop,,,,,,,,12445
ALJ,S206G,S206,1,F,Home Signal,Low Speed,,,,,,,,12446
ALJ,S206G,S206,1,E,Home Signal,Clear,,,,,,,,12447
ALJ,S206G,S206,1,D,Home Signal,Time Release,,,,,,,,12448
ALJ,S206G,S206,1,C,Home Signal,Fleeting,,,,,,,,12449
ALJ,S206G,S206,1,B,Home Signal,Approach Clear,,,,,,,,12450
ALJ,S206G,S206,1,A,Home Signal,Route Set,,,,,,,,12451
ALJ,S208G,S208,0,F,Home Signal,Stop,,,,,,,,12430
ALJ,S208G,S208,0,E,Home Signal,Low Speed,,,,,,,,12431
ALJ,S208G,S208,0,D,Home Signal,Clear,,,,,,,,12432
ALJ,S208G,S208,0,C,Home Signal,Time Release,,,,,,,,12433
ALJ,S208G,S208,0,B,Home Signal,Fleeting,,,,,,,,12434
ALJ,S208G,S208,0,A,Home Signal,Approach Clear,,,,,,,,12435
ALJ,S208G,S208,0,9,Home Signal,Route Set,,,,,,,,12436
ALJ,S210G,S210,1,2,Home Signal,Stop,,,,,,,,12459
ALJ,S210G,S210,1,1,Home Signal,Low Speed,,,,,,,,12460
ALJ,S210G,S210,1,0,Home Signal,Clear,,,,,,,,12461
ALJ,S210G,S210,2,F,Home Signal,Time Release,,,,,,,,12462
ALJ,S210G,S210,2,E,Home Signal,Fleeting,,,,,,,,12463
ALJ,S210G,S210,2,D,Home Signal,Approach Clear,,,,,,,,12464
ALJ,S210G,S210,2,C,Home Signal,Route Set,,,,,,,,12465
ALJ,S212G,S212,2,6,Home Signal,Stop,,,,,,,,12471
ALJ,S212G,S212,2,5,Home Signal,Low Speed,,,,,,,,12472
ALJ,S212G,S212,2,4,Home Signal,Clear,,,,,,,,12473
ALJ,S212G,S212,2,3,Home Signal,Time Release,,,,,,,,12474
ALJ,S212G,S212,2,2,Home Signal,Fleeting,,,,,,,,12475
ALJ,S212G,S212,2,1,Home Signal,Approach Clear,,,,,,,,12476
ALJ,S212G,S212,2,0,Home Signal,Route Set,,,,,,,,12477
ALJ,S214G,S214,7,4,Home Signal,Stop,,,,,,,,12553
ALJ,S214G,S214,7,3,Home Signal,Low Speed,,,,,,,,12554
ALJ,S214G,S214,7,2,Home Signal,Clear,,,,,,,,12555
ALJ,S214G,S214,7,1,Home Signal,Time Release,,,,,,,,12556
ALJ,S214G,S214,7,0,Home Signal,Fleeting,,,,,,,,12557
ALJ,S214G,S214,8,F,Home Signal,Approach Clear,,,,,,,,12558
ALJ,S214G,S214,8,E,Home Signal,Route Set,,,,,,,,12559
ALJ,S216G,S216,3,D,Home Signal,Stop,,,,,,,,12480
ALJ,S216G,S216,3,C,Home Signal,Low Speed,,,,,,,,12481
ALJ,S216G,S216,3,B,Home Signal,Clear,,,,,,,,12482
ALJ,S216G,S216,3,A,Home Signal,Time Release,,,,,,,,12483
ALJ,S216G,S216,3,9,Home Signal,Fleeting,,,,,,,,12484
ALJ,S216G,S216,3,8,Home Signal,Approach Clear,,,,,,,,12485
ALJ,S216G,S216,3,7,Home Signal,Route Set,,,,,,,,12486
ALJ,S218G,S218,3,1,Dwarf Signal,Stop,,,,,,,,12492
ALJ,S218G,S218,3,0,Dwarf Signal,Clear,,,,,,,,12493
ALJ,S218G,S218,4,F,Dwarf Signal,Time Release,,,,,,,,12494
ALJ,S218G,S218,4,E,Dwarf Signal,Route Set,,,,,,,,12495
ALJ,S220G,S220,4,C,Home Signal,Stop,,,,,,,,12497
ALJ,S220G,S220,4,B,Home Signal,Low Speed,,,,,,,,12498
ALJ,S220G,S220,4,A,Home Signal,Clear,,,,,,,,12499
ALJ,S220G,S220,4,9,Home Signal,Time Release,,,,,,,,12500
ALJ,S220G,S220,4,8,Home Signal,Fleeting,,,,,,,,12501
ALJ,S220G,S220,4,7,Home Signal,Approach Clear,,,,,,,,12502
ALJ,S220G,S220,4,6,Home Signal,Route Set,,,,,,,,12503
ALJ,S222G,S222,5,F,Home Signal,Stop,,,,,,,,12510
ALJ,S222G,S222,5,E,Home Signal,Low Speed,,,,,,,,12511
ALJ,S222G,S222,5,D,Home Signal,Clear,,,,,,,,12512
ALJ,S222G,S222,5,C,Home Signal,Time Release,,,,,,,,12513
ALJ,S222G,S222,5,B,Home Signal,Fleeting,,,,,,,,12514
ALJ,S222G,S222,5,A,Home Signal,Approach Clear,,,,,,,,12515
ALJ,S222G,S222,5,9,Home Signal,Route Set,,,,,,,,12516
ALJ,S224G,S224,5,7,Home Signal,Stop,,,,,,,,12518
ALJ,S224G,S224,5,6,Home Signal,Low Speed,,,,,,,,12519
ALJ,S224G,S224,5,5,Home Signal,Clear,,,,,,,,12520
ALJ,S224G,S224,5,4,Home Signal,Time Release,,,,,,,,12521,
ALJ,S224G,S224,5,3,Home Signal,Fleeting,,,,,,,,12522,
ALJ,S224G,S224,5,2,Home Signal,Approach Clear,,,,,,,,12523,
ALJ,S224G,S224,5,1,Home Signal,Route Set,,,,,,,,12524,
ALJ,S230G,S230,8,D,Home Signal,Stop,,,,,,,,12560,
ALJ,S230G,S230,8,C,Home Signal,Low Speed,,,,,,,,12561,
ALJ,S230G,S230,8,B,Home Signal,Clear,,,,,,,,12562,
ALJ,S230G,S230,8,A,Home Signal,Time Release,,,,,,,,12563,
ALJ,S230G,S230,8,9,Home Signal,Fleeting,,,,,,,,12564,
ALJ,S230G,S230,8,8,Home Signal,Approach Clear,,,,,,,,12565,
ALJ,S230G,S230,8,7,Home Signal,Route Set,,,,,,,,12566,
ALJ,S232G,S232,8,6,Home Signal,Stop,,,,,,,,12567,
ALJ,S232G,S232,8,5,Home Signal,Low Speed,,,,,,,,12568,
ALJ,S232G,S232,8,4,Home Signal,Clear,,,,,,,,12569,
ALJ,S232G,S232,8,3,Home Signal,Time Release,,,,,,,,12570,
ALJ,S232G,S232,8,2,Home Signal,Fleeting,,,,,,,,12571,
ALJ,S232G,S232,8,1,Home Signal,Approach Clear,,,,,,,,12572
ALJ,S232G,S232,8,0,Home Signal,Route Set,,,,,,,,12573
ALJ,SG456G,SG456,6,C,Controlled Auto Signal,Stop,,,,,,,,12529
ALJ,SG456G,SG456,6,B,Controlled Auto Signal,Clear,,,,,,,,12530
ALJ,SG456G,SG456,6,A,Controlled Auto Signal,Time Release,,,,,,,,12531
ALJ,SG456G,SG456,6,9,Controlled Auto Signal,Fleeting,,,,,,,,12532
