"h","r","p","p","p","p","p"
"#","Role","Permissions","","","",""
"v","","regionControl","defaultOperationalPrefix","defaultOperationalFringe","region","alarmRegion"
"d","area-bly","10","IAA","","10","10"
"d","area-cfd","20","IAB","","20","20"
"d","area-chl","30","IAA","","30","30"
"d","area-nor","40","IAA","","40","40"
"d","area-wes","50","","","50","50"
"d","area-bly-chl","90","","","90","90"
"d","area-bly-cfd","91","","","91","91"
"d","area-cfd-nor","92","","","92","92"
"d","area-nor-wes","93","","","93","93"
"d","area-chl-nor","94","","","94","94"
"d","area-bly-nor","95","","","95","95"
"d","area-chl-bly-nor","96","","","96","96"
"d","area-fringe-bly","110","","FB-BLY","110","110"
"d","area-fringe-cfd","120","","FB-CFD","120","120"
"d","area-fringe-epp","130","","FB-EPP","130","130"
"d","area-fringe-grn","131","","FB-GRN","131","131"
"d","area-fringe-hbe","133","","FB-HBE","133","133"
"d","area-fringe-mcd","132","","FB-MCD","132","132"
"d","area-fringe-nme","140","","FB-NME","140","140"
"d","area-fringe-sss","141","","FB-SSS","141","141"
"d","area-fringe-upf","142","","FB-UPF","142","142"
"d","area-fringe-ken","150","","FB-KEN","150","150"
"d","area-fringe-npt","151","","FB-NPT","151","151"
"d","area-fringe-sun","152","","FB-SUN","152","152"
"d","area-fringe-wst","160","","FB-WST","160","160"
"d","group-bly","210","","","210","210"
"d","group-cfd","220","","","220","220"
"d","group-chl","230","","","230","230"
"d","group-nor","240","","","240","240"
"d","group-shm","250","","","250","250"
"","area-0","","","","0","0"
"","area-1","","","","1","1"
"","area-2","","","","2","2"
"","area-3","","","","3","3"
"","area-4","","","","4","4"
"","area-5","","","","5","5"
"","area-6","","","","6","6"
"","area-7","","","","7","7"
"","area-8","","","","8","8"
"","area-9","","","","9","9"
"","area-10","","","","10","10"
"","area-11","","","","11","11"
"","area-12","","","","12","12"
"","area-13","","","","13","13"
"","area-14","","","","14","14"
"","area-15","","","","15","15"
"","area-16","","","","16","16"
"","area-17","","","","17","17"
"","area-18","","","","18","18"
"","area-19","","","","19","19"
"","area-20","","","","20","20"
"","area-21","","","","21","21"
"","area-22","","","","22","22"
"","area-23","","","","23","23"
"","area-24","","","","24","24"
"","area-25","","","","25","25"
"","area-26","","","","26","26"
"","area-27","","","","27","27"
"","area-28","","","","28","28"
"","area-29","","","","29","29"
"","area-30","","","","30","30"
"","area-31","","","","31","31"
"","area-32","","","","32","32"
"","area-33","","","","33","33"
"","area-34","","","","34","34"
"","area-35","","","","35","35"
"","area-36","","","","36","36"
"","area-37","","","","37","37"
"","area-38","","","","38","38"
"","area-39","","","","39","39"
"","area-40","","","","40","40"
"","area-41","","","","41","41"
"","area-42","","","","42","42"
"","area-43","","","","43","43"
"","area-44","","","","44","44"
"","area-45","","","","45","45"
"","area-46","","","","46","46"
"","area-47","","","","47","47"
"","area-48","","","","48","48"
"","area-49","","","","49","49"
"","area-50","","","","50","50"
"","area-51","","","","51","51"
"","area-52","","","","52","52"
"","area-53","","","","53","53"
"","area-54","","","","54","54"
"","area-55","","","","55","55"
"","area-56","","","","56","56"
"","area-57","","","","57","57"
"","area-58","","","","58","58"
"","area-59","","","","59","59"
"","area-60","","","","60","60"
"","area-61","","","","61","61"
"","area-62","","","","62","62"
"","area-63","","","","63","63"
"","area-64","","","","64","64"
"","area-65","","","","65","65"
"","area-66","","","","66","66"
"","area-67","","","","67","67"
"","area-68","","","","68","68"
"","area-69","","","","69","69"
"","area-70","","","","70","70"
"","area-71","","","","71","71"
"","area-72","","","","72","72"
"","area-73","","","","73","73"
"","area-74","","","","74","74"
"","area-75","","","","75","75"
"","area-76","","","","76","76"
"","area-77","","","","77","77"
"","area-78","","","","78","78"
"","area-79","","","","79","79"
"","area-80","","","","80","80"
"","area-81","","","","81","81"
"","area-82","","","","82","82"
"","area-83","","","","83","83"
"","area-84","","","","84","84"
"","area-85","","","","85","85"
"","area-86","","","","86","86"
"","area-87","","","","87","87"
"","area-88","","","","88","88"
"","area-89","","","","89","89"
"","area-90","","","","90","90"
"","area-91","","","","91","91"
"","area-92","","","","92","92"
"","area-93","","","","93","93"
"","area-94","","","","94","94"
"","area-95","","","","95","95"
"","area-96","","","","96","96"
"","area-97","","","","97","97"
"","area-98","","","","98","98"
"","area-99","","","","99","99"
"","area-100","","","","100","100"
"","area-101","","","","101","101"
"","area-102","","","","102","102"
"","area-103","","","","103","103"
"","area-104","","","","104","104"
"","area-105","","","","105","105"
"","area-106","","","","106","106"
"","area-107","","","","107","107"
"","area-108","","","","108","108"
"","area-109","","","","109","109"
"","area-110","","","","110","110"
"","area-111","","","","111","111"
"","area-112","","","","112","112"
"","area-113","","","","113","113"
"","area-114","","","","114","114"
"","area-115","","","","115","115"
"","area-116","","","","116","116"
"","area-117","","","","117","117"
"","area-118","","","","118","118"
"","area-119","","","","119","119"
"","area-120","","","","120","120"
"","area-121","","","","121","121"
"","area-122","","","","122","122"
"","area-123","","","","123","123"
"","area-124","","","","124","124"
"","area-125","","","","125","125"
"","area-126","","","","126","126"
"","area-127","","","","127","127"
"","area-128","","","","128","128"
"","area-129","","","","129","129"
"","area-130","","","","130","130"
"","area-131","","","","131","131"
"","area-132","","","","132","132"
"","area-133","","","","133","133"
"","area-134","","","","134","134"
"","area-135","","","","135","135"
"","area-136","","","","136","136"
