"h","","u","uc","r","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir","ir"
"#","User Description","User","UserClass","Main Role","Sub-Roles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Work-Positions / Location / Name","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"#","","","","","Commands","Areas","","","","","","","","","","","","","","","","","","","","","","","","","Groups","","","","","SC-BLY","SC-BLY-ETP","SC-CFD","SC-CFD-ETP","SC-CHL","SC-CHL-ETP","SC-NOR","SC-NOR-ETP","SC-WST","SC-WST-ETP","ITC-BLY","ITC-CFD","OTC-BLY","OTC-CFD","OTC-NOR","PIDS-BLY","PIDS-CFD","RO-BLY","RO-CFD","FC-EPP","FC-SSS","FC-BLY","FC-CFD","FC-GRN","FC-HDB","FC-KEN","FC-MCD","FC-NME","FC-NPT","FC-SUN","FC-UFD","FC-WST","E-gate","PCO-1","TCAO-1","Main 1","Main 2","Main 3","Main 1","Main 2","TC-Spare","TT-1","TT-2","TT-3","TT-4","TT-5","Trainee","Trainer","EDS Trainee","Fleet-1","Fleet-2","SC-BLY","SC-BLY-ETP","SC-CFD","SC-CFD-ETP","SC-CHL","SC-CHL-ETP","SC-NOR","SC-NOR-ETP","SC-WST","SC-WST-ETP","ITC-BLY","ITC-CFD","OTC-BLY","OTC-CFD","OTC-NOR","PIDS-BLY","PIDS-CFD","RO-BLY","RO-CFD","EDS Trainee","Fleet-1","Fleet-2","TT-1","TC-Spare","Trainee","Trainer","PCO-2","PCO-3","PCO-4","TCAO-2","TCAO-3","Centrol","area0","area1","area2","area3","area4","area5","area6","area7","area8","area9","area10","area11","area12","area13","area14","area15","area16","area17","area18","area19","area20","area21","area22","area23","area24","area25","area26","area27","area28","area29","area30","area31","area32","area33","area34","area35","area36","area37","area38","area39","area40","area41","area42","area43","area44","area45","area46","area47","area48","area49","area50","area51","area52","area53","area54","area55","area56","area57","area58","area59","area60","area61","area62","area63","area64","area65","area66","area67","area68","area69","area70","area71","area72","area73","area74","area75","area76","area77","area78","area79","area80","area81","area82","area83","area84","area85","area86","area87","area88","area89","area90","area91","area92","area93","area94","area95","area96","area97","area98","area99","area100","area101","area102","area103","area104","area105","area106","area107","area108","area109","area110","area111","area112","area113","area114","area115","area116","area117","area118","area119","area120","area121","area122","area123","area124","area125","area126","area127","area128","area129","area130","area131","area132","area133","area134","area135","area136","area137","area138","area139","area140","area141","area142","area143","area144","area145","area146","area147","area148","area149","area150","area151","area152","area153","area154","area155","area156","area157","area158","area159","area160","area161","area162","area163","area164","area165","area166","area167","area168","area169","area170","area171","area172","area173","area174","area175","area176","area177","area178","area179","area180","area181","area182","area183","area184","area185","area186","area187","area188","area189","area190","area191","area192","area193","area194","area195","area196","area197","area198","area199","area200","area201","area202","area203","area204","area205","area206","area207","area208","area209","area210","area211","area212","area213","area214","area215","area216","area217","area218","area219","area220","area221","area222","area223","area224","area225","area226","area227","area228","area229","area230","area231","area232","area233","area234","area235","area236","area237","area238","area239","area240","area241","area242","area243","area244","area245","area246","area247","area248","area249","area250","area251","area252","area253","area254","area255"
"#","","","","","","10","20","30","40","50","90","91","92","93","94","95","96","110","120","130","131","132","133","140","141","142","150","151","152","160","210","220","230","240","250","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","Remote","FSS","FSS","MCS","MCS","MCS","DRS","DRS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","MCS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","DRS","FSS","FSS","FSS","FSS","FSS","","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255"
"v","","","","","","area-bly","area-cfd","area-chl","area-nor","area-wes","area-bly-chl","area-bly-cfd","area-cfd-nor","area-nor-wes","area-chl-nor","area-bly-nor","area-chl-bly-nor","area-fringe-bly","are-fringe-cfd","area-fringe-epp","area-fringe-grn","area-fringe-mcd","area-fringe-hdb","area-fringe-nme","area-fringe-sss","area-fringe-ufd","area-fringe-ken","area-fringe-npt","area-fringe-sun","area-fringe-wst","group-bly","group-cfd","group-chl","group-nor","group-shm","tcmsw001","tcmsw002","tcmsw003","tcmsw004","tcmsw005","tcmsw006","tcmsw007","tcmsw008","tcmsw009","tcmsw010","tcmsw011","tcmsw012","tcmsw013","tcmsw014","tcmsw015","tcmsw016","tcmsw017","tcmsw018","tcmsw019","tcmsw020","tcmsw021","tcmsw022","tcmsw023","tcmsw024","tcmsw025","tcmsw026","tcmsw027","tcmsw028","tcmsw029","tcmsw030","tcmsw031","tcmsw032","tcmsw033","tcmsw034","tcmsw035","tcmsw036","tcmsw037","tcmsw038","tcmsw039","tcmsw040","tcmsw041","tcmsw042","tcmsw043","tcmsw044","tcmsw045","tcmsw046","tcmsw047","tcmsw048","tcmsw049","tcmsw050","tcmsw051","tcmsw052","tcmsw053","tcmsw054","tcmsw055","tcmsw056","tcmsw057","tcmsw058","tcmsw059","tcmsw060","tcmsw061","tcmsw062","tcmsw063","tcmsw064","tcmsw065","tcmsw066","tcmsw067","tcmsw068","tcmsw069","tcmsw070","tcmsw071","tcmsw072","tcmsw073","tcmsw074","tcmsw075","tcmsw076","tcmsw077","tcmsw078","tcmsw079","tcmsw080","tcmsw081","tcmsw082","tcmsw083","area0","area1","area2","area3","area4","area5","area6","area7","area8","area9","area10","area11","area12","area13","area14","area15","area16","area17","area18","area19","area20","area21","area22","area23","area24","area25","area26","area27","area28","area29","area30","area31","area32","area33","area34","area35","area36","area37","area38","area39","area40","area41","area42","area43","area44","area45","area46","area47","area48","area49","area50","area51","area52","area53","area54","area55","area56","area57","area58","area59","area60","area61","area62","area63","area64","area65","area66","area67","area68","area69","area70","area71","area72","area73","area74","area75","area76","area77","area78","area79","area80","area81","area82","area83","area84","area85","area86","area87","area88","area89","area90","area91","area92","area93","area94","area95","area96","area97","area98","area99","area100","area101","area102","area103","area104","area105","area106","area107","area108","area109","area110","area111","area112","area113","area114","area115","area116","area117","area118","area119","area120","area121","area122","area123","area124","area125","area126","area127","area128","area129","area130","area131","area132","area133","area134","area135","area136","area137","area138","area139","area140","area141","area142","area143","area144","area145","area146","area147","area148","area149","area150","area151","area152","area153","area154","area155","area156","area157","area158","area159","area160","area161","area162","area163","area164","area165","area166","area167","area168","area169","area170","area171","area172","area173","area174","area175","area176","area177","area178","area179","area180","area181","area182","area183","area184","area185","area186","area187","area188","area189","area190","area191","area192","area193","area194","area195","area196","area197","area198","area199","area200","area201","area202","area203","area204","area205","area206","area207","area208","area209","area210","area211","area212","area213","area214","area215","area216","area217","area218","area219","area220","area221","area222","area223","area224","area225","area226","area227","area228","area229","area230","area231","area232","area233","area234","area235","area236","area237","area238","area239","area240","area241","area242","area243","area244","area245","area246","area247","area248","area249","area250","area251","area252","area253","area254","area255"
"d","Signal Controller Burnley","sc-bly","sc-bly","sc-bly","cli-signalcontrol","x","","","","","x","x","","","","","","","","","","","","","","","","","","","x","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","","","","","","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","","","","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x"
"d","Signal Controller Burnley ETP","sc-bly-etp","sc-bly-etp","sc-bly-etp","cli-signalcontrol","x","","","","","x","x","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","","","","","","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","","","","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x"
"d","Signal Controller Caulfield","sc-cfd","sc-cfd","sc-cfd","cli-signalcontrol","","x","","","","","x","x","","","","","","","","","","","","","","","","","","","x","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","x","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","","","","","","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","","","","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x"
"d","Signal Controller Caulfield ETP","sc-cfd-etp","sc-cfd-etp","sc-cfd-etp","cli-signalcontrol","","x","","","","","x","x","","","","","","","","","","","","","","","","","","","x","","","x","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","x","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","","","","","","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","","","","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x"
"d","Signal Controller Clifton Hill","sc-chl","sc-chl","sc-chl","cli-signalcontrol","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","","","","","","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","","","","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x"
"d","Signal Controller Clifton Hill ETP","sc-chl-etp","sc-chl-etp","sc-chl-etp","cli-signalcontrol","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","","","","","","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","","","","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","","","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x","x","x","x","x","","x","x","x","x","x"
