#track name	x	y	length	speed
SYR/TD249	10	1	271.00	8.00
SYR/TD192	9	1	440.30	8.00
SYR/TD252	2	1	301.70	8.00
SYR/TD237	12	1	107.60	8.00
SSN/P604D	63	1	26.00	17.00
FSA/P630D	79	1	87.10	14.00
SYR/TD100	18	1	357.70	8.00
FSE/T797	30	1	161.80	11.00
SSS/T706X	68	1	57.80	9.00
SSS/T709	73	1	165.00	9.00
SYR/TD241	11	1	228.00	8.00
SYR/TD242	3	1	329.10	8.00
SSS/T707	71	1	27.00	9.00
CFD/P604U	3	1	110.00	13.00
SSS/T705	66	1	88.00	9.00
FSE/T796	28	1	122.00	11.00
MUL/T608	56	1	75.00	10.00
MUL/T654	40	1	92.00	10.00
MUL/T655	36	1	274.40	10.00
MUL/T653	37	1	129.40	10.00
MUL/T604	57	1	115.00	10.00
MUL/T650	41	1	71.30	10.00
FSE/P677D	26	1	114.20	11.00
FSA/P651D	81	1	28.70	14.00
SYR/TD170	11	1	236.70	8.00
FSA/P631U	80	1	28.70	14.00
SYR/TD072	22	1	166.00	8.00
FSE/P677U	27	1	151.00	11.00
CFD/T709	1	1	180.00	13.00
SYR/TD076	21	1	129.70	8.00
SYR/TD178	10	1	192.80	8.00
SYR/TD271	8	1	445.10	8.00
MUL/T602	58	1	246.20	10.00
FSE/P694	32	1	137.40	18.00
MUL/T600	59	1	124.00	10.00
CFD/T702	4	1	250.00	8.00
SYR/TD259	9	1	369.10	8.00
FSA/P632D	82	1	80.40	14.00
FSA/T685	75	1	165.80	9.00
FSA/T688	76	1	62.50	9.00
FSA/T687	77	1	161.00	9.00
SYR/TD307	5	1	392.40	8.00
FSA/P632U	83	1	62.50	14.00
FSB/T585	85	1	107.00	7.00
FSE/T777	25	1	104.70	7.00
SYR/TD164	12	1	380.50	8.00
SYR/TD262	1	1	314.80	8.00
FSA/T730	78	1	94.40	9.00
SSS/P467D	70	1	27.50	14.00
SYR/TD295	6	1	338.00	8.00
FSE/T659	33	1	250.10	11.00
SYR/TD206	7	1	139.00	8.00
MUL/T629	47	1	103.00	10.00
FSE/T657	35	1	152.30	11.00
MUL/T620	51	1	68.90	10.00
MUL/T623	48	1	95.00	10.00
SYR/TD140	14	1	197.60	8.00
FSE/T664	29	1	82.60	11.00
SYR/TD285	7	1	308.00	8.00
FSE/T662	34	1	109.80	11.00
FSE/T660	24	1	40.80	7.00
MUL/T615	53	1	96.50	10.00
MUL/T617	52	1	89.70	10.00
FSE/T669	23	1	123.70	7.00
SYR/TD200	8	1	267.60	8.00
SYR/TD080	20	1	171.80	8.00
SYR/T152	13	1	384.90	8.00
FSE/T164	31	1	60.90	11.00
MUL/T611	54	1	91.10	10.00
SSN/T680	65	1	97.00	9.00
MUL/T612	55	1	92.00	10.00
CFD/P607D	2	1	110.00	18.00
SYR/TD088	19	1	210.00	8.00
SYR/TD132	15	1	236.10	8.00
SYR/TD225	14	1	175.00	8.00
MUL/T649	38	1	88.90	10.00
SSN/P603	64	1	34.00	17.00
MUL/T646	42	1	142.20	10.00
MUL/T645	39	1	91.40	10.00
MUL/T644	43	1	81.00	10.00
SYR/TD231	13	1	238.60	8.00
SYR/TD230	4	1	310.70	8.00
SYR/TD124	16	1	302.00	8.00
SSS/T684	72	1	64.80	9.00
SYR/TD212	6	1	235.00	8.00
SYR/TD213	15	1	355.80	8.00
SSS/T683	67	1	98.40	9.00
MUL/T636	49	1	103.00	10.00
MUL/T637	44	1	236.80	10.00
SSS/T686	74	1	57.00	9.00
MUL/T635	46	1	223.00	10.00
SSN/T601	60	1	200.00	10.00
SSN/T704	62	1	27.00	10.00
MUL/T791	50	1	166.60	10.00
SYR/TD220	5	1	229.40	8.00
MUL/T790	45	1	87.60	10.00
SSS/P607	69	1	27.50	14.00
SSN/T702	61	1	143.00	10.00
FSA/T584	84	1	104.30	10.00
SYR/TD114	17	1	444.80	8.00

