#route id	dir	tracks
SYR/RF252A	up:	SYR/TF252 
SYR/RD153A	dn:	SYR/TD153 
SYR/RF206A	up:	SYR/TF206 SYR/TF200 
SYR/RB088A	up:	SYR/TB088 
SYR/R263A	dn:	SYR/T263 SYR/T269 
SYR/RD201A	dn:	SYR/TD201 
FSA/R688A-FSA/R730B-FSA/R732A-FSA/R584A	up:	FSA/T688 FSA/T687 FSA/T730 FSA/P630D FSA/P631U FSA/P651D FSA/P632D FSA/P632U FSA/T584 FSB/T585 
SSN/R702A-SSN/R704A	up:	SSN/T702 SSN/T704 SSN/P604D SSN/P603 
SYR/RB072A	up:	SYR/TB072 
MUL/R649A	up:	MUL/T649 
MUL/R655A	up:	MUL/T655 
SYR/RB124A	up:	SYR/TB124 
SHM/R905A-SHM/R906C	dn:	SHM/T905 SHM/P813D SHM/P808U SHM/P808D SHM/T908 SHM/T906 SHM/T806 
SYR/R187A	dn:	SYR/T187 SYR/T189 
SYR/RF100A	up:	SYR/TF100 
SYR/RD171A	dn:	SYR/TD171 
MUL/R637A	up:	MUL/T637 MUL/T790 
SYR/RD091A	dn:	SYR/TD091 
SYR/RF114A	up:	SYR/TF114 
SSS/R748A	up:	SSS/T684 SSS/T709 
SYR/RB107A	dn:	SYR/TB107 
SYR/RD191A	dn:	SYR/TD191 
BBH/R902A-BBH/R904A	dn:	BBH/T902 BBH/P812D BBH/P809U BBH/T906 
FSE/R863A	up:	FSE/T863IB FSB/T861 
MUL/R789A	up:	MUL/T608 MUL/T604 
SSS/R706C	up:	SSS/T683 SSS/T706X SSS/P607 SSS/P467D SSS/T707 
SYR/RF230A	up:	SYR/TF230 
SYR/RF072A	up:	SYR/TF072 
SYR/RD249A	dn:	SYR/TD249 
SYR/RF220A	up:	SYR/TF220 SYR/TF212 
SYR/RF192A	up:	SYR/TF192 
SYR/RF140A	up:	SYR/TF140 SYR/TF132 
BBH/R497A	dn:	BBH/T497 BBH/T499 
SYR/RD099A	dn:	SYR/TD099 
SYR/RD213A	dn:	SYR/TD213 
SYR/R275A	dn:	SYR/T275 SYR/T277 
MUL/R653A	up:	MUL/T653 
SYR/RD117A	dn:	SYR/TD117 
SYR/RD107A	dn:	SYR/TD107 
SYR/R142A	up:	SYR/T142 
SYR/R295A	dn:	SYR/T295 SYR/T307 
SYR/R175A	dn:	SYR/T175 
SYR/RD307A	dn:	SYR/TD307 
MUL/R611A	up:	MUL/T611 MUL/T612 
BBH/R427A	dn:	BBH/T427 BBH/T429 
FSE/R679A-FSE/R787B-FSE/R799A	up:	FSE/T679 FSE/T663 FSE/T787 FSE/P689U FSE/P688D FSE/P687D FSE/P687U FSE/T798 FSE/T672 FSE/T799 FSE/T172 FSE/P694 
FSE/R871A-FSE/R983A	up:	FSE/T871 FSE/T985 FSE/T983 FSE/P685U FSE/P883 FSE/T865 
SYR/RD145A	dn:	SYR/TD145 
SYR/RD183A	dn:	SYR/TD183 
CFD/R702A-CFD/R704D	dn:	CFD/T702 CFD/P604U CFD/P604D CFD/P624U CFD/T624X CFD/P624D CFD/P647D CFD/P667U CFD/P667D CFD/T769 
SYR/R233A	dn:	SYR/T233 SYR/T247 
BBH/R908A	dn:	BBH/T908 BBH/T477 
SYR/R157A	dn:	SYR/T157 
SYR/RD259A	dn:	SYR/TD259 
SYR/RD271A	dn:	SYR/TD271 
SYR/RB099A	dn:	SYR/TB099 
